Interval (ms),PCM1.P1.MAP,PCM1.P19.BatteryVolts,PCM1.P19.Coolant_Temp,PCM1.P1.Final_AFR1,PCM1.P1.Final_AFR2,PCM1.P14.InjectorPW1,PCM1.P9.O2Fuel_MultA,PCM1.P9.O2Fuel_MultB,PCM1.P23.Primary_Fuel_Pressure,PCM1.P12.PrimaryCompensatedInjectorFlow,PCM1.P9.RPM,PCM1.P1.Spark_Advance_Log,PCM1.P20.Target_AFR,PCM1.P4.TimeSinceRun,PCM1.P2.TPS,PCM1.P3.WasteGate_SetPoint,PCM1.P3.NonDrivenWheelSpeed,PCM1.P3.DrivenWheelSpeed,PCM1.P20.Engine_HP_Potential,PCM1.P22.EngineTorque,PCM1.ERI.VarDecs.Primary_Injector_Duty
2023-02-19::06:06:29.526,-8.85,14.38,161.60,9.02,1.03,2066.00,1.00,1.00,50.33,1269.00,1094.00,20.89,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:29.548,-8.85,14.38,161.60,9.02,1.03,2068.00,1.00,1.00,50.04,1271.00,1091.00,20.64,10.00,385.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:29.579,-8.85,14.38,161.60,9.02,1.03,2065.00,1.00,1.00,50.62,1267.00,1086.00,20.79,10.00,385.00,2.00,22.05,0.00,0.00,10.00,48.00
2023-02-19::06:06:29.600,-8.85,14.41,161.60,9.01,1.03,2069.00,1.00,1.00,49.89,1273.00,1086.00,20.89,10.00,385.00,2.00,22.05,0.00,0.00,10.00,48.00
2023-02-19::06:06:29.622,-8.85,14.41,161.60,9.01,1.03,2067.00,1.00,1.00,50.47,1265.00,1089.00,20.89,10.00,385.00,2.00,22.05,0.00,0.00,10.00,48.00
2023-02-19::06:06:29.650,-8.85,14.41,161.60,9.03,1.03,2067.00,1.00,1.00,50.33,1269.00,1095.00,20.79,10.00,385.00,2.00,22.05,0.00,0.00,10.00,48.00
2023-02-19::06:06:29.674,-8.85,14.41,161.60,9.03,1.03,2066.00,1.00,1.00,50.33,1269.00,1096.00,20.53,10.00,385.00,2.00,22.05,0.00,0.00,10.00,48.00
2023-02-19::06:06:29.704,-8.85,14.39,161.60,9.02,1.03,2074.00,1.00,1.00,50.33,1269.00,1087.00,20.53,10.00,385.00,2.00,22.05,0.00,0.00,10.00,48.00
2023-02-19::06:06:29.725,-8.85,14.39,161.60,9.03,1.03,2062.00,1.00,1.00,50.47,1272.00,1094.00,20.88,10.00,385.00,2.00,22.05,0.00,0.00,10.00,48.00
2023-02-19::06:06:29.753,-8.99,14.39,161.60,9.02,1.03,2058.00,1.00,1.00,50.47,1268.00,1101.00,20.64,10.00,385.00,2.00,22.05,0.00,0.00,9.00,47.00
